"Aircraft..Type" "Effect..Impact.to.flight" "FlightDate" "Record.ID" "Aircraft..Airline.Operator" "Feet.above.ground" "origin"
2 NULL 2000-01-01 200508 130 "0" 1
2 NULL 2000-01-01 206593 343 NULL 2
2 NULL 2000-01-01 206594 343 NULL 3
2 NULL 2000-01-01 204095 343 NULL 4
NULL NULL 2000-01-01 202963 345 NULL 5
2 5 2000-01-01 203122 350 "1,000" 6
2 4 2000-01-01 204787 59 "0" 2
2 4 2000-01-02 201162 90 "0" 7
2 4 2000-01-02 203926 90 "2,000" 8
2 NULL 2000-01-02 201161 343 "0" 9
2 5 2000-01-02 201559 139 "0" 10
NULL NULL 2000-01-02 205149 345 NULL 8
2 4 2000-01-02 201026 90 "200" 11
2 4 2000-01-02 200142 335 "350" 12
2 4 2000-01-03 208776 349 "800" 13
2 6 2000-01-03 201027 316 NULL 14
2 5 2000-01-03 201859 139 NULL 10
2 4 2000-01-03 202643 126 "0" 15
2 4 2000-01-03 200378 90 "500" 16
2 3 2000-01-03 203735 47 "1,800" 17
2 4 2000-01-04 205029 316 "50" 18
2 6 2000-01-04 208470 59 "100" 19
2 NULL 2000-01-04 207197 316 "1,400" 14
2 NULL 2000-01-04 209300 343 NULL 2
2 4 2000-01-04 204251 90 "50" 20
2 4 2000-01-04 204764 130 "100" 21
4 6 2000-01-04 206124 268 "100" 2
NULL NULL 2000-01-04 201102 345 NULL 22
2 4 2000-01-05 201103 100 "0" 23
2 NULL 2000-01-05 201278 257 "0" 9
2 2 2000-01-05 200637 232 "0" 24
2 4 2000-01-05 203953 139 "0" 25
2 4 2000-01-05 201423 162 "0" 25
NULL NULL 2000-01-05 201045 345 NULL 26
2 2 2000-01-06 200279 143 "0" 5
2 NULL 2000-01-06 200280 192 NULL 2
2 4 2000-01-06 202558 316 "0" 12
2 2 2000-01-06 207369 47 "0" 17
2 4 2000-01-06 207370 58 NULL 27
2 4 2000-01-07 204371 46 "0" 28
2 NULL 2000-01-07 201254 139 "0" 29
NULL NULL 2000-01-07 201274 345 NULL 30
2 4 2000-01-07 204109 139 "100" 31
NULL NULL 2000-01-07 3699 241 "800" 32
2 4 2000-01-08 202568 59 "0" 5
2 4 2000-01-08 202907 335 "0" 5
2 4 2000-01-08 210541 233 "200" 33
2 NULL 2000-01-08 202048 257 "50" 34
2 NULL 2000-01-08 203586 343 "0" 35
2 4 2000-01-08 205868 196 "300" 36
2 NULL 2000-01-08 203684 343 NULL 2
2 5 2000-01-08 201681 278 "0" 37
2 4 2000-01-08 200470 59 "0" 38
2 4 2000-01-08 201589 58 "200" 39
2 6 2000-01-08 202271 60 "800" 8
2 4 2000-01-08 200159 334 "100" 40
NULL NULL 2000-01-08 200038 345 NULL 30
2 NULL 2000-01-09 200568 257 "0" 38
2 NULL 2000-01-09 205130 343 "0" 10
2 4 2000-01-09 200559 139 "800" 13
2 NULL 2000-01-09 200265 139 NULL 2
2 NULL 2000-01-09 208775 343 NULL 2
2 4 2000-01-09 204702 90 "500" 41
2 4 2000-01-09 202580 90 "0" 42
2 4 2000-01-09 207354 53 "5" 18
2 4 2000-01-09 202132 60 "700" 43
2 4 2000-01-10 202957 59 "0" 5
2 NULL 2000-01-10 201205 196 "0" 44
2 NULL 2000-01-10 200481 280 "0" 45
2 NULL 2000-01-10 203471 343 NULL 2
NULL NULL 2000-01-10 206122 345 NULL 5
2 NULL 2000-01-10 202246 343 NULL 2
2 4 2000-01-10 204120 90 NULL 46
2 4 2000-01-10 200818 271 "200" 47
NULL 4 2000-01-10 1264 241 "1,000" 48
2 4 2000-01-11 205770 90 "5" 49
2 NULL 2000-01-11 202220 257 "0" 13
2 NULL 2000-01-11 200486 343 "150" 50
2 NULL 2000-01-11 208162 343 NULL 9
NULL NULL 2000-01-11 200576 345 NULL 5
2 4 2000-01-11 207784 90 "0" 51
2 NULL 2000-01-11 208653 343 NULL 2
2 NULL 2000-01-11 208621 343 NULL 52
2 4 2000-01-11 208032 335 "0" 25
2 4 2000-01-11 204999 90 "30" 53
NULL NULL 2000-01-11 207028 345 NULL 36
NULL NULL 2000-01-11 1265 241 NULL 54
2 4 2000-01-12 204186 90 "0" 55
2 NULL 2000-01-12 213077 139 "0" 56
2 NULL 2000-01-12 207721 343 "0" 52
2 4 2000-01-12 205867 165 "0" 57
2 4 2000-01-12 204254 192 "0" 58
2 NULL 2000-01-12 207720 343 NULL 2
2 NULL 2000-01-12 205604 90 NULL 59
2 NULL 2000-01-12 200248 184 "600" 60
2 4 2000-01-12 201909 90 "1,300" 61
2 4 2000-01-12 200944 60 "5" 38
2 4 2000-01-12 202529 165 NULL 62
2 NULL 2000-01-12 203734 362 "500" 59
2 4 2000-01-13 200801 59 "12" 63
2 4 2000-01-13 200175 345 "0" 64
2 3 2000-01-13 248650 257 "21,000" 65
2 NULL 2000-01-13 200356 343 "0" 66
2 NULL 2000-01-13 205012 343 NULL 3
2 4 2000-01-13 200939 90 "1,000" 54
2 4 2000-01-13 200070 90 "3" 49
2 4 2000-01-13 205182 90 "500" 20
2 4 2000-01-13 1000 241 "7,000" 67
2 4 2000-01-14 200655 90 "500" 68
2 NULL 2000-01-14 201776 343 "250" 3
2 4 2000-01-14 205781 165 "50" 69
2 4 2000-01-14 208428 60 "10" 70
NULL NULL 2000-01-14 202639 345 NULL 30
4 6 2000-01-14 200878 90 "800" 71
NULL NULL 2000-01-14 1001 241 NULL 72
2 NULL 2000-01-15 204680 257 "0" 73
2 NULL 2000-01-15 202967 343 "0" 74
2 NULL 2000-01-15 200721 69 "0" 31
2 NULL 2000-01-15 202817 343 NULL 9
NULL NULL 2000-01-15 200739 345 NULL 30
2 4 2000-01-15 201592 278 "0" 75
