"op_id" "op_name"
1 "ABSA AEROLINHAS BRASILEIRAS"
2 "ABX AIR"
3 "ACM AVIATION"
4 "ACTION AIRLINES"
5 "ADI SHUTTLE GROUP"
6 "AER LINGUS"
7 "AERO AIR"
8 "AERO CHARTER AND TRANSPORT"
9 "AERO COSTA RICA"
10 "AERO INDUSTRIES"
11 "AEROFLOT"
12 "AEROLINEAS EJECUTIVAS"
13 "AEROLITORAL"
14 "AEROMEXICO"
15 "AERONAVES TSM"
16 "AEROSUN INTL"
17 "AIR-INDIA"
18 "AIR 2000"
19 "AIR 500"
20 "AIR AFRIQUE"
21 "AIR AMERICA/TOTAL AIR"
22 "AIR BC"
23 "AIR CANADA"
24 "AIR CANADA JAZZ"
25 "AIR CARGO CARRIERS"
26 "AIR CHINA"
27 "AIR CHINA CARGO"
28 "AIR FRANCE"
29 "AIR GEORGIAN"
30 "AIR JAMAICA"
31 "AIR JAPAN"
32 "AIR LIBERTE"
33 "AIR LOGISTICS"
34 "AIR MIDWEST"
35 "AIR NEW ZEALAND"
36 "AIR ONTARIO"
37 "AIR PACIFIC"
38 "AIR SUNSHINE"
39 "AIR TAHOMA"
40 "AIR TRANSAT"
41 "AIR TRANSPORT INTL"
42 "AIR WISCONSIN AIRLINES"
43 "AIRNET EXPRESS"
44 "AIRNOW"
45 "AIRPAC"
46 "AIRTOURS INTL"
47 "AIRTRAN AIRWAYS"
48 "AIRWAYS INTL"
49 "ALASKA AIRLINES"
50 "ALASKA CENTRAL EXPRESS"
51 "ALITALIA"
52 "ALL NIPPON AIRWAYS"
53 "ALLEGHENYAIRLINES"
54 "ALLEGIANT AIR"
55 "ALOHA AIR CARGO"
56 "ALOHA AIRLINES"
57 "ALPINE AIR"
58 "AMERICA WEST AIRLINES"
59 "AMERICAN AIRLINES"
60 "AMERICAN EAGLE AIRLINES"
61 "AMERICAN JET INTL"
62 "AMERIFLIGHT"
63 "AMERIJET INTL"
64 "AMERISTAR JET CHARTER"
65 "ARROW AIRWAYS"
66 "ASIANA AIRLINES"
67 "ASTAR AIR CARGO"
68 "ATA AIRLINES"
69 "ATLANTIC COAST AIRLINES"
70 "ATLANTIC SOUTHEAST"
71 "ATLAS AIR"
72 "AUSTRIAN AIRLINES"
73 "AVANTAIR"
74 "AVCENTER AIR CHARTER"
75 "AVIANCA"
76 "BANKAIR"
77 "BARON AVIATION SERVICES"
78 "BERING AIR"
79 "BERRY AVIATION"
80 "BIGSKY AIRLINES"
81 "BIMINI ISLAND AIR"
82 "BOEING COMMERCIAL AIRPLANE GRP"
83 "BOMBARDIER BUSINESS JET"
84 "BOMBARDIER BUSINESS JET SOLUTIONS"
85 "BOSTON-MAINE AIRWAYS"
86 "BOWMAN AVIATION"
87 "BREEZE"
88 "BRITANNIA AIRWAYS"
89 "BRITISH AIRWAYS"
90 "BUSINESS"
91 "BUSINESS AVIATION COURIER"
92 "BUSINESS EXPRESS"
93 "BUTLER AVIATION"
94 "BWIA WEST INDIES AIRWAYS"
95 "C & M AIRWAYS (RED WING)"
96 "CANADA 3000 AIRLINES"
97 "CANADIAN AIRLINES"
98 "CANADIAN REGIONAL AIRLINES"
99 "CANJET AIRLINES"
100 "CAPE AIR"
101 "CAPITAL CARGO INTL"
102 "CAPITAL CITY AIR CARRIER"
103 "CARGOJET AIRWAYS"
104 "CARGOLUX AIRLINES INTL"
105 "CASINO EXPRESS AIRLINES"
106 "CASTLE AVIATION"
107 "CATALINA FLYING BOATS"
108 "CATHAY PACIFIC"
109 "CAYMAN AIRWAYS"
110 "CCAIR"
111 "CENTRAL AIR SOUTHWEST"
112 "CENTRAL AIRWAYS"
113 "CENTURION CARGO"
114 "CHAMPION AIR"
115 "CHANNEL ISLANDS AVIATION"
116 "CHANTILLY AIR"
117 "CHAUTAUQUA AIRLINES"
118 "CHERRY-AIR"
119 "CHICAGO EXPRESS"
120 "CHINA AIRLINES"
121 "CHINA SOUTHERN AIRLINES"
122 "CHIPOLA AVIATION"
123 "CITATIONAIR"
124 "CLAY LACY AVIATION"
125 "COLGAN AIRWAYS"
126 "COMAIR AIRLINES"
127 "COMMUTAIR"
128 "COMPASS AIRLINES"
129 "CONSORCIO AVIACSA"
130 "CONTINENTAL AIRLINES"
131 "CONTINENTAL MICRONESIA"
132 "CONTRACT AIR CARGO"
133 "COPA AIRLINES"
134 "CORPORATE AIR"
135 "CORPORATE AIRLINES"
136 "CSA AIR"
137 "CUSTOM AIR TRANSPORT"
138 "DB AVIATION (NORTHSHORE)"
139 "DELTA AIR LINES"
140 "DELTA AIRELITE BUSINESS JETS"
141 "DHL AIR"
142 "EAST COAST JETS"
143 "EL AL"
144 "EMERY WORLDWIDE"
145 "EMIRATES"
146 "EMPIRE AIRLINES"
147 "ENTERGY SERVICES"
148 "EPPS AVIATION CHARTER"
149 "ERA AVIATION"
150 "ERA HELICOPTERS"
151 "ETIHAD AIRWAY"
152 "EVA AIR"
153 "EVERGREEN INTL AIRLINES"
154 "EXECAIRE"
155 "EXECUTIVE AIR SERVICE"
156 "EXECUTIVE AIRLINES"
157 "EXECUTIVE AIRSHARE"
158 "EXECUTIVE JET AVIATION"
159 "EXECUTIVE JET MGMNT"
160 "EXPRESS NET AIRLINES"
