"Airport..Name" "Origin.State" "origin_id"
"NEWARK LIBERTY INTL ARPT" "New Jersey" 1
NULL "N/A" 2
"DENVER INTL AIRPORT" "Colorado" 3
"CHICAGO O'HARE INTL ARPT" "Illinois" 4
"JOHN F KENNEDY INTL" "New York" 5
NULL "Florida" 6
"CINCINNATI MUNI ARPT-LUNKEN FIELD" "Ohio" 7
"MIAMI INTL" "Florida" 8
"SAN FRANCISCO INTL ARPT" "California" 9
"SALT LAKE CITY INTL" "Utah" 10
"SOUTHWEST FLORIDA INTL ARPT" "Florida" 11
"KANSAS CITY INTL" "Missouri" 12
"NASHVILLE INTL" "Tennessee" 13
"SAN ANTONIO INTL" "Texas" 14
"PENSACOLA REGIONAL" "Florida" 15
"THEODORE FRANCIS GREEN STATE" "Rhode Island" 16
"ATLANTA INTL" "Georgia" 17
"BALTIMORE WASH INTL" "Maryland" 18
"MINETA SAN JOSE INTL" "California" 19
"TETERBORO AIRPORT" "New Jersey" 20
"LAFAYETTE REGIONAL (LA)" "Louisiana" 21
"WILMINGTON INTL" "North Carolina" 22
"LUIS MUNOZ MARIN INTL -SAN JUAN" "Puerto Rico" 23
"GROTON-NEW LONDON AR" "Connecticut" 24
"PORT COLUMBUS INTL" "Ohio" 25
"RONALD REAGAN WASHINGTON NATL" "DC" 26
"SAN DIEGO INTL" "California" 27
"ORLANDO SANFORD INTL AIRPORT" "Florida" 28
"ORLANDO INTL" "Florida" 29
"SARASOTA-BRADENTON" "Florida" 30
"SYRACUSE HANCOCK INTL" "New York" 31
"SHEPPARD AIR FORCE BASE" "Texas" 32
"DETROIT METRO WAYNE COUNTY ARPT" "Michigan" 33
"AUSTIN STRAUBEL INTL" "Wisconsin" 34
"LOS ANGELES INTL" "California" 35
"PORTLAND INTL (OR)" "Oregon" 36
"PUEBLO MEMORIAL ARPT" "Colorado" 37
"DALLAS/FORT WORTH INTL ARPT" "Texas" 38
"ONTARIO INTL ARPT" "California" 39
"LAMBERT-ST LOUIS INTL" "Missouri" 40
"REID-HILLVIEW ARPT OF SANTA CLARA CNTY" "California" 41
"INDIANAPOLIS INTL" "Indiana" 42
"MCCARREN INTL" "Nevada" 43
"MAHLON SWEET FLD" "Oregon" 44
"PORTLAND INTL JETPORT (ME)" "Maine" 45
"BURKE LAKEFRONT" "Ohio" 46
"COASTAL CAROLINA REGIONAL ARPT" "North Carolina" 47
"HUNTSVILLE INTL" "Alabama" 48
"DAYTONA BEACH INTL" "Florida" 49
"GREATER ROCHESTER INTL" "New York" 50
"STOCKTON METRO" "California" 51
"WASHINGTON DULLES INTL ARPT" "DC" 52
"DANBURY MUNICIPAL ARPT" "Connecticut" 53
"JACKSON EVERS INTL" "Mississippi" 54
"OAKLAND COUNTY INTL" "Michigan" 55
"LAGUARDIA NY" "New York" 56
"MEMPHIS INTL" "Tennessee" 57
"LIHUE ARPT" "Hawaii" 58
"SACRAMENTO INTL" "California" 59
"OPA-LOCKA EXECUTIVE ARPT" "Florida" 60
"MYRTLE BEACH INTL" "South Carolina" 61
"METRO OAKLAND INTL" "California" 62
"SANTO DOMINGO/LAS AM" "N/A" 63
"LOGAN INTL" "Massachusetts" 64
"TED STEVENS ANCHORAGE INTL" "Alaska" 65
"AMSTERDAM SCHIPHOL" "N/A" 66
"TUCSON INTL" "Arizona" 67
"GLENDALE MUNICIPAL ARPT" "Arizona" 68
"TWEED-NEW HAVEN ARPT" "Connecticut" 69
"RALEIGH-DURHAM INTL" "North Carolina" 70
"SACRAMENTO EXECUTIVE ARPT" "California" 71
"PEASE INTL TRADEPORT" "New Hampshire" 72
"EGLIN AFB/NW FLORIDA REGIONAL ARPT" "Florida" 73
"JUAN SANTAMARIA INTL" "N/A" 74
"HAYWARD EXECUTIVE ARPT" "California" 75
"NAPA COUNTY ARPT" "California" 76
"FORT LAUDERDALE EXECUTIVE ARPT" "Florida" 77
"MOBILE REGIONAL" "Alabama" 78
"JACKSONVILLE INTL" "Florida" 79
"NEW ORLEANS INTL" "Louisiana" 80
"GREATER PITTSBURGH" "Pennsylvania" 81
"SEATTLE-TACOMA INTL" "Washington" 82
"MINNEAPOLIS-ST PAUL INTL" "Minnesota" 83
"AUSTIN-BERGSTROM INTL" "Texas" 84
"IGOR I SIKORSKY MEMORIAL" "Connecticut" 85
"MINISTRO PISTARINI" "N/A" 86
"RICHMOND INTL" "Virginia" 87
"ROGUE VALLEY INTL" "Oregon" 88
"SKAGIT REGIONAL" "Washington" 89
"TULSA INTL" "Oklahoma" 90
"KLEBERG COUNTY ARPT" "Texas" 91
"PHOENIX-MESA GATEWAY" "Arizona" 92
"PHOENIX SKY HARBOR" "Arizona" 93
"JOHN WAYNE AIRPORT" "California" 94
"DUTCHESS COUNTY ARPT" "New York" 95
"VERO BEACH MUNICIPAL" "Florida" 96
"SEBRING REGIONAL ARPT" "Florida" 97
"LOUISVILLE INTL ARPT" "Kentucky" 98
"SIMON BOLIVAR INTL" "N/A" 99
"MONTGOMERY REGIONAL ARPT" "Alabama" 100
"MERRILL FIELD ARPT" "Alaska" 101
"HUTCHINSON MUNICIPAL" "Kansas" 102
"SPIRIT OF ST LOUIS" "Missouri" 103
"SANTA BARBARA MUNICIPAL" "California" 104
"CAPITAL (BEIJING)" "N/A" 105
"GRANTLEY ADAMS BARBA" "N/A" 106
"EAGLE COUNTY REGIONAL" "Colorado" 107
"TAMPA INTL" "Florida" 108
"CINCINNATI/NORTHERN KENTUCKY INTL ARPT" "Kentucky" 109
"BARNES MUNICIPAL ARPT" "Massachusetts" 110
"ABRAHAM LINCOLN CAPITAL ARPT" "Illinois" 111
"BRACKETT FIELD ARPT" "California" 112
NULL "California" 113
"GRAND CANYON NATIONAL" "Arizona" 114
"TRAVIS AIR FORCE BASE" "California" 115
"LEHIGH VALLEY INTL" "Pennsylvania" 116
"CHARLOTTE/DOUGLAS INTL ARPT" "North Carolina" 117
"LA ROMANA INTL" "N/A" 118
"BURLINGTON INTL" "Vermont" 119
"CORPUS CHRISTI INTL ARPT" "Texas" 120
"FORT SMITH MUNICIPAL ARPT" "Arkansas" 121
"SUBIC BAY INTL" "N/A" 122
"JAMES M COX DAYTON INTL" "Ohio" 123
"COLORADO SPRINGS MUNICIPAL" "Colorado" 124
"HOUSTON-HOBBY" "Texas" 125
"MANCHESTER AIRPORT" "New Hampshire" 126
"HONOLULU INTL ARPT" "Hawaii" 127
"SNOHOMISH CO (PAINE FIELD)" "Washington" 128
"GREGG COUNTY ARPT" "Texas" 129
"TERRE HAUTE INTL ARPT-HULMAN FIELD" "Indiana" 130
"QUAD CITY ARPT" "Illinois" 131
"PHILADELPHIA INTL" "Pennsylvania" 132
"TALLAHASSEE REGIONAL" "Florida" 133
NULL "Louisiana" 134
"AUCKLAND INTL" "N/A" 135
"CAMBRIDGE MUNICIPAL" "Ohio" 136
"WILL ROGERS WORLD ARPT" "Oklahoma" 137
"EPPLEY AIRFIELD" "Nebraska" 138
"BOB HOPE ARPT" "California" 139
"SONOMA COUNTY ARPT" "California" 140
"MIDLAND INTL" "Texas" 141
"MORRISTOWN MUNICIPAL ARPT" "New Jersey" 142
"CHICAGO MIDWAY INTL ARPT" "Illinois" 143
"EXECUTIVE ARPT" "Florida" 144
"GREATER PEORIA REGIONAL ARPT" "Illinois" 145
"JORGE NEWBERY" "N/A" 146
"SAN LUIS COUNTY REGIONAL ARPT" "California" 147
NULL "Nebraska" 148
"CHARLES B WHEELER DOWNTOWN ARPT" "Missouri" 149
"BUFFALO-NIAGARA INTL" "New York" 150
"GEORGE BUSH INTERCONTINENTAL" "Texas" 151
NULL "Arizona" 152
"JIM HAMILTON L B OWENS ARPT" "South Carolina" 153
NULL "Virginia" 154
"JOE FOSS FIELD ARPT" "South Dakota" 155
"FLOYD W JONES LEBANON ARPT" "Missouri" 156
"TUSCALOOSA MUNICIPAL" "Alabama" 157
"BARKSDALE AIR FORCE BASE ARPT" "Louisiana" 158
"KAPALUA ARPT" "Hawaii" 159
"RICKENBACKER INTL" "Ohio" 160
"SITKA ROCKY GUTIERREZ ARPT" "Alaska" 161
"HARRISBURG INTL" "Pennsylvania" 162
NULL "Missouri" 163
"BERZ-MACOMB ARPT" "Michigan" 164
"ST. PAUL DOWNTOWN ARPT" "Minnesota" 165
"SPRINGFIELD-BRANSON NATIONAL" "Missouri" 166
"BANGOR INTL" "Maine" 167
"ANOKA COUNTY-BLAINE" "Minnesota" 168
"QUONSET STATE ARPT" "Rhode Island" 169
"FLYING CLOUD ARPT" "Minnesota" 170
"WILKES-BARRE/SCRANTON INTL" "Pennsylvania" 171
"SOUTHWEST MINNESOTA REGIONAL ARPT" "Minnesota" 172
"ABERDEEN REGIONAL AR" "South Dakota" 173
"BIRMINGHAM-SHUTTLESWORTH INTL" "Alabama" 174
"FORBES FIELD AIRPORT" "Kansas" 175
NULL "New York" 176
"OWENSBORO-DAVIESS" "Kentucky" 177
"ASPEN-PITKIN CO/SARD" "Colorado" 178
NULL "Ohio" 179
"ROCHESTER INTL" "Minnesota" 180
"GERALD R FORD INTL" "Michigan" 181
"LAKE CHARLES REGIONAL" "Louisiana" 182
"ADAMS FIELD ARPT" "Arkansas" 183
"HECTOR INTERNATIONAL" "North Dakota" 184
"HEATHROW - LONDON" "N/A" 185
"FORT LAUDERDALE/HOLLYWOOD INTL" "Florida" 186
"ATLANTIC CITY INTL" "New Jersey" 187
"BUCHANAN FLD" "California" 188
"MONMOUTH EXECUTIVE ARPT" "New Jersey" 189
"NORFOLK INTL" "Virginia" 190
"BARNSTABLE MUNICIPAL" "Massachusetts" 191
"NAPLES MUNICIPAL" "Florida" 192
"WESTCHESTER COUNTY ARPT" "New York" 193
"BOWMAN FIELD" "Kentucky" 194
"FORT WAYNE INTL" "Indiana" 195
"KAHULUI ARPT" "Hawaii" 196
"DALLAS LOVE FIELD ARPT" "Texas" 197
"AIRBORNE AIRPARK" "Ohio" 198
"TAHITI FAAA" "N/A" 199
"MCNARY FLD ARPT" "Oregon" 200
"VALLEY INTL" "Texas" 201
"BEMIDJI REGIONAL ARPT" "Minnesota" 202
"BLUE GRASS ARPT" "Kentucky" 203
"KETCHIKAN INTL ARPT" "Alaska" 204
"VANCOUVER INTL" "British Columbia" 205
"GENERAL MITCHELL INTL" "Wisconsin" 206
"PALM SPRINGS INTL" "California" 207
"DES MOINES INTL" "Iowa" 208
"LAKE IN THE HILLS" "Illinois" 209
"LONG ISLAND MAC ARTHUR" "New York" 210
NULL "Iowa" 211
NULL "Kentucky" 212
"LORAIN COUNTY REGIONAL ARPT" "Ohio" 213
"GREATER ROCKFORD" "Illinois" 214
"MONROE REGIONAL ARPT" "Louisiana" 215
NULL "New Jersey" 216
"BRADLEY INTL" "Connecticut" 217
"TOLEDO EXPRESS ARPT" "Ohio" 218
